City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Harper,4.375,-7.7169,82.9,69,84,10.49,LR,2022-02-06 17:08:34,broken clouds
60,Uzunovo,54.5386,38.6173,21.43,98,95,4.52,RU,2022-02-06 17:08:34,light snow
61,Hithadhoo,-0.6,73.0833,82.83,70,25,11.3,MV,2022-02-06 17:08:35,scattered clouds
62,Bambanglipuro,-7.95,110.2833,76.35,94,100,2.62,ID,2022-02-06 17:08:35,overcast clouds
63,Carnarvon,-24.8667,113.6333,74.8,70,28,23.09,AU,2022-02-06 17:06:08,scattered clouds
64,Castro,-24.7911,-50.0119,77.34,69,76,8.86,BR,2022-02-06 17:07:20,broken clouds
65,Chuy,-33.6971,-53.4616,70.57,52,75,15.19,UY,2022-02-06 17:07:52,broken clouds
66,Kahului,20.8947,-156.47,73.85,79,20,11.5,US,2022-02-06 17:05:15,few clouds
67,Champawat,29.3333,80.1,39.65,91,86,2.89,IN,2022-02-06 17:08:36,overcast clouds
68,Khatanga,71.9667,102.5,-22.45,99,95,7.67,RU,2022-02-06 17:08:36,overcast clouds
69,Ucluelet,48.9329,-125.5528,38.95,93,98,5.82,CA,2022-02-06 17:07:10,overcast clouds
70,Alofi,-19.0595,-169.9187,79.79,72,100,5.01,NU,2022-02-06 17:08:37,light rain
71,Norman Wells,65.282,-126.8329,-14.76,70,75,9.22,CA,2022-02-06 17:08:37,light snow
72,Sechura,-5.5569,-80.8222,81.46,56,87,8.7,PE,2022-02-06 17:08:37,overcast clouds
73,Rae Bareli,26.2167,81.2333,53.73,63,0,4.03,IN,2022-02-06 17:08:38,clear sky
74,Bonoua,5.2741,-3.595,82.02,64,64,10.33,CI,2022-02-06 17:08:38,broken clouds
75,Kodiak,57.79,-152.4072,38.71,65,0,3.44,US,2022-02-06 17:04:28,clear sky
76,Chiredzi,-21.05,31.6667,78.98,51,96,2.71,ZW,2022-02-06 17:08:39,overcast clouds
77,Salalah,17.0151,54.0924,77.09,78,0,1.14,OM,2022-02-06 17:08:39,clear sky
78,Waipawa,-41.4122,175.5153,57.83,81,100,12.12,NZ,2022-02-06 17:08:39,overcast clouds
79,Namibe,-15.1961,12.1522,76.01,66,86,14.36,AO,2022-02-06 17:08:40,overcast clouds
80,Cherskiy,68.75,161.3,-30.3,100,33,2.1,RU,2022-02-06 17:08:40,scattered clouds
81,Torrington,41.8007,-73.1212,25.97,44,71,1.01,US,2022-02-06 17:08:41,snow
82,Touros,-5.1989,-35.4608,90.5,54,15,12.91,BR,2022-02-06 17:08:41,few clouds
83,Portland,45.5234,-122.6762,46.17,88,100,7.0,US,2022-02-06 17:07:23,fog
84,Mar Del Plata,-38.0023,-57.5575,64.87,90,100,23.0,AR,2022-02-06 17:08:42,overcast clouds
85,Buala,-8.145,159.5921,80.4,84,97,8.72,SB,2022-02-06 17:08:42,light rain
86,Mugumu,-1.85,34.7,67.3,67,100,3.94,TZ,2022-02-06 17:08:42,overcast clouds
87,Sigli,5.3848,95.9609,77.38,88,100,6.6,ID,2022-02-06 17:08:43,overcast clouds
88,San Patricio,28.017,-97.5169,59.09,64,0,3.44,US,2022-02-06 17:08:43,clear sky
89,Bonavista,48.6499,-53.1147,17.11,68,100,25.46,CA,2022-02-06 17:08:43,overcast clouds
90,Nikolskoye,59.7035,30.7861,34.88,94,100,12.3,RU,2022-02-06 17:08:44,light snow
91,Mahebourg,-20.4081,57.7,79.25,82,40,12.66,MU,2022-02-06 17:06:04,scattered clouds
92,Yabrud,33.9674,36.6574,35.53,77,41,1.3,SY,2022-02-06 17:09:44,scattered clouds
93,Bilma,18.6853,12.9164,70.41,11,0,9.13,NE,2022-02-06 17:09:44,clear sky
94,Saskylakh,71.9167,114.0833,-26.75,100,97,1.32,RU,2022-02-06 17:09:45,overcast clouds
95,Seydi,39.4816,62.9137,42.01,54,96,6.91,TM,2022-02-06 17:09:45,overcast clouds
96,Rovinj,45.08,13.64,48.69,84,89,8.41,HR,2022-02-06 17:09:45,overcast clouds
97,Aykhal,66.0,111.5,-10.3,98,100,5.21,RU,2022-02-06 17:09:46,overcast clouds
98,New Norfolk,-42.7826,147.0587,53.71,71,40,2.1,AU,2022-02-06 17:09:46,scattered clouds
