City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Port Augusta,AU,2022-02-05 17:45:32,-32.5,137.7667,76.71,28,37,16.35
60,Andenes,NO,2022-02-05 17:48:03,69.3143,16.1194,32.79,71,93,32.12
61,Ambilobe,MG,2022-02-05 17:48:03,-13.2,49.05,74.62,93,98,6.73
62,Camopi,GF,2022-02-05 17:48:04,3.1655,-52.3158,79.14,91,71,4.43
63,Cherskiy,RU,2022-02-05 17:48:04,68.75,161.3,-33.21,96,17,1.74
64,Yellowknife,CA,2022-02-05 17:46:42,62.456,-114.3525,-12.59,86,75,6.91
65,Arraial Do Cabo,BR,2022-02-05 17:47:18,-22.9661,-42.0278,89.56,66,0,21.85
66,Puerto Ayora,EC,2022-02-05 17:48:05,-0.7393,-90.3518,85.96,85,58,5.99
67,Ilulissat,GL,2022-02-05 17:47:08,69.2167,-51.1,6.82,51,75,16.11
68,Kahului,US,2022-02-05 17:48:06,20.8947,-156.47,76.84,77,20,0.0
69,Umm Kaddadah,SD,2022-02-05 17:48:06,13.6017,26.6876,62.85,16,75,14.47
70,Hauterive,FR,2022-02-05 17:48:07,46.0901,3.4459,42.1,83,6,1.05
71,Buritis,BR,2022-02-05 17:48:07,-15.6178,-46.4233,81.34,75,91,2.57
72,Coahuayana,MX,2022-02-05 17:48:08,18.7333,-103.6833,85.48,36,14,4.43
73,Pevek,RU,2022-02-05 17:48:08,69.7008,170.3133,-27.98,99,22,3.18
74,Punta Arenas,CL,2022-02-05 17:44:51,-53.15,-70.9167,62.71,59,75,34.52
75,Salinas,US,2022-02-05 17:45:23,36.6777,-121.6555,59.72,56,0,14.97
76,Albany,US,2022-02-05 17:47:42,42.6001,-73.9662,20.84,65,25,5.99
77,Mogadishu,SO,2022-02-05 17:48:09,2.0371,45.3438,77.63,82,25,16.84
78,Obodivka,UA,2022-02-05 17:48:10,48.4051,29.2477,34.25,92,92,12.84
79,College,US,2022-02-05 17:48:10,64.8569,-147.8028,1.35,79,75,3.44
80,Maragogi,BR,2022-02-05 17:43:49,-9.0122,-35.2225,84.15,58,49,10.56
81,Cayenne,GF,2022-02-05 17:48:10,4.9333,-52.3333,84.24,82,75,5.99
82,Santa Maria,BR,2022-02-05 17:48:11,-29.6842,-53.8069,72.7,88,75,9.22
83,Chuy,UY,2022-02-05 17:48:11,-33.6971,-53.4616,79.72,59,84,10.0
84,Mount Vernon,US,2022-02-05 17:43:57,40.9126,-73.8371,29.95,66,20,8.01
85,Port Alfred,ZA,2022-02-05 17:48:12,-33.5906,26.891,70.23,84,100,24.49
86,Ouesso,CG,2022-02-05 17:48:13,1.6136,16.0517,79.34,22,78,2.1
87,Harnosand,SE,2022-02-05 17:48:13,62.6323,17.9379,15.8,80,5,6.6
88,Esperance,AU,2022-02-05 17:45:52,-33.8667,121.9,66.04,70,4,18.25
89,Qasigiannguit,GL,2022-02-05 17:48:14,68.8193,-51.1922,7.05,78,100,7.29
90,Cidreira,BR,2022-02-05 17:48:14,-30.1811,-50.2056,82.81,69,97,9.98
91,Katherine,AU,2022-02-05 17:48:15,-14.4667,132.2667,75.52,94,99,0.0
92,Mecca,SA,2022-02-05 17:49:15,21.4267,39.8261,63.59,41,3,11.21
93,Porto Novo,BJ,2022-02-05 17:49:15,6.4965,2.6036,85.82,71,2,8.61
94,Kaitangata,NZ,2022-02-05 17:49:16,-46.2817,169.8464,44.08,93,34,6.06
95,Tuktoyaktuk,CA,2022-02-05 17:49:16,69.4541,-133.0374,-32.8,68,20,9.22
96,Bredasdorp,ZA,2022-02-05 17:49:17,-34.5322,20.0403,71.28,68,52,24.16
97,Belaya Gora,RU,2022-02-05 17:45:51,68.5333,146.4167,-39.89,100,93,1.39
98,Lebu,CL,2022-02-05 17:46:17,-37.6167,-73.65,64.35,67,0,19.86
99,Hithadhoo,MV,2022-02-05 17:49:17,-0.6,73.0833,82.6,73,100,13.91
100,Nikolskoye,RU,2022-02-05 17:49:18,59.7035,30.7861,23.72,93,100,10.76
101,Vanimo,PG,2022-02-05 17:49:18,-2.6741,141.3028,78.01,87,94,6.17
102,Rawson,AR,2022-02-05 17:49:18,-43.3002,-65.1023,63.03,44,0,11.86
103,Hamilton,US,2022-02-05 17:45:30,39.1834,-84.5333,25.88,73,40,1.01
104,Severo-Kurilsk,RU,2022-02-05 17:49:19,50.6789,156.125,28.35,84,100,11.23
105,Natal,BR,2022-02-05 17:49:19,-5.795,-35.2094,88.45,58,20,14.97
106,Japura,ID,2022-02-05 17:49:20,-0.3167,102.35,73.2,98,100,2.46
107,Boende,CD,2022-02-05 17:49:20,-0.2167,20.8667,81.45,50,82,3.51
108,Lakes Entrance,AU,2022-02-05 17:49:20,-37.8811,147.981,53.17,88,6,6.2
